"","CD8 T cell","CD4 T cell","NK cell","Monocyte","Macrophage","Treg","cDC2","B cell","GD T cell","CD45-","cDC1","pDC","Mast cell"
"CD6",0.749314256669017,1,NA,NA,0.321231150546736,0.242716712416754,NA,NA,0.939529731011518,NA,NA,NA,NA
"CD86",0.00216157099449016,0.00333802059320749,0.00109700482246148,0.747234655032788,0.789954553468065,0.320529298933826,1,0.000905432297236557,0.00202216511462942,0.00124355095665686,0.689073224171495,0.000992843726224992,0.00111883689601995
"JAM",NA,NA,NA,NA,0.757104203215747,NA,0.976743086075931,NA,NA,0.788523578067133,1,NA,NA
"VEGF",0.0132413463189742,0.00608291345188774,0.00550198077058281,1,0.848693233433319,0.0370460752773975,0.827526968304082,0.00464473387664526,0.00607094114255224,0.60852538381397,0.0458553664413684,0.159636480295341,0.333901778888612
"SEMA4",0.644998690705523,0.656445654361261,0.610038793069051,0.451603501147819,0.701775364649025,0.485108950950419,0.390098682639621,0.000830462143846597,0.693122848089233,0.227376874182653,1,0.607709222466331,0.568531119353992
"IL1",0.000157484360611591,0.000162679326662883,0.000156007622431007,1,0.673186401131072,0.0311251185472696,0.934689766198789,0.000196831975135145,0.000158569933938,0.0023252062298776,0.12798417166018,0.000351863122031624,0.00356454742126736
"TNF",NA,NA,NA,NA,0.517135779509581,NA,NA,NA,1,NA,NA,NA,NA
"IL10",0.430684103110323,0.426695334354961,0.415234968128607,0.942204657905528,0.832913141156449,1,0.899180841272677,0.362350010749837,0.416964864388956,0.0086001516096331,0.821861929610685,0.904066389966855,0.0154011982800617
"CEACAM",0.389095147760863,0.0881968069689139,0.088105539123895,0.086038683025594,0.133123160465062,0.0841061449111221,0.163082265944126,0.0853072350728139,0.0883334056774838,1,0.0752959980317021,0.076289321301074,0.083481622512653
"CD40",0.0066096476458549,0.831189800313741,0.00460744559674681,0.0269603403572753,0.353350068075371,0.0161167020464076,0.367256774239092,0.419088949953374,0.00593377194218494,0.0226969978170493,1,0.00354515421822072,0.00433762433890841
"PECAM2",NA,NA,NA,1,0.802769679187303,NA,0.293054645215594,0.327246719124657,NA,NA,0.312587106814017,0.362437365884187,NA
"PLAU",0.000602613300791508,0.000633895930950227,0.000523241817067459,0.634556414709667,1,0.000589841448512635,0.560922381152062,0.000410847621317429,0.000346717680111218,0.107957600543881,0.491560940850717,0.381757766244305,0.462160574400743
"CSF",0.00713455668111821,0.00721119240828056,0.00499682813264788,0.807804355976912,1,0.0100355809349833,0.774070950151477,0.00198362628969995,0.00667779019346257,0.00965499384957707,0.00219917438200694,0.00346984042013135,0.341235015030238
"CDH1",0.0310689995984483,0.00472201487769828,0.00243770437276152,0.00765844966121651,0.00864522020635683,0.00246965953983547,0.00231608419094831,0.00173318395120533,0.0825364481610184,1,0.00130503475671811,0.00160968122010229,0.023183887365311
"PARs",0.976678665054647,0.277906358277963,0.998876503590645,0.0755958299254203,0.148321174921903,0.00764257657630424,0.0664212169213373,0.00777585411186792,1,0.431570459592877,0.0599421162704031,0.261921591293512,0.0101795396949511
"CD96",0.958187653075191,0.943451307774954,0.948296157685245,NA,NA,0.851149301272417,NA,NA,1,NA,NA,NA,NA
"GDF",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"FLT3",0.424136826721,0.691292807228776,NA,NA,0.226233027570111,0.389128294226857,0.716090186967006,NA,0.645104751184808,NA,1,0.231089814028217,NA
"GRN",NA,NA,NA,1,0.890915856641001,NA,0.935877104651037,0.250497450005892,NA,0.514966371931164,0.934201713851565,0.967722052597404,0.173585178107143
"IL6",0.225025321241164,0.311910467544456,NA,0.965339583648797,1,0.964961470423942,0.849587207348151,0.237291129232829,NA,0.16228150360476,0.826880779624834,0.250247478434645,0.255802246593616
"SIRP",NA,NA,NA,0.215201917927267,0.214190431912619,1,0.167209665454777,NA,NA,0.14115604450443,0.00891186505061304,NA,0.0982247002758838
"COMPLEMENT",0.00021610017523372,0.000229423878818005,0.000219175564856155,0.0811705185895452,1,0.000198307546291804,0.0549764767823363,0.000192020833131048,0.000231997441315947,0.00101993926260705,0.000510776432963065,0.00167996111217542,0.000226640810369565
"GAS",0.000997142851399953,0.00103091567400742,0.000995203212099128,0.00126221825795526,0.172004874456543,0.000954990954674925,0.528922803126312,0.210079821602744,0.00102745971112214,0.186667753698116,0.163749288262187,1,0.00103575534809013
"CD160",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CADM",0.445232430694041,NA,0.40277019091819,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"CD80",0.18094756782048,0.442434411366214,NA,0.0171845071569939,0.169425555625367,1,0.0457765439076932,NA,0.177026932772831,0.00251506197735497,0.0177993878016991,NA,NA
"LCK",0.972589347497497,0.974904902868329,0.37845516985715,0.00585067517505294,0.0078852189566667,0.936652604078246,0.0057981212002085,0.00171539305948149,1,0.00504549650042811,0.00298011805457454,0.00457371154327871,0.00591664096459464
"CSF3",0.00266483177621552,0.00276182916439519,0.0026607622978417,1,0.722643409388097,0.00255305346774045,0.813433377827418,0.00232589624437963,0.00274843552425839,0.00286769886174488,0.00305480128488844,0.00277098547954545,0.00277385120588962
"ANGPTL",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"CLDN",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"ICOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"IGFBP",0.0658440611820495,NA,0.11807047480686,0.39533915279819,0.695348566916849,NA,NA,0.224032919115346,0.0678490774667908,0.940551746091739,0.165737625734506,1,NA
"CALCR",NA,NA,NA,1,0.806170605105929,NA,0.778089535824465,NA,NA,0.716450105243118,0.43878479519099,0.345430601575749,NA
"OX40",NA,0.29267244901468,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.378426575095389
"TWEAK",NA,NA,NA,NA,1,NA,0.451853220254478,NA,NA,NA,NA,NA,NA
"PVR",NA,NA,0.35485895615922,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"IGF",0.117081131762228,0.0249067271750845,0.154196376987478,0.408746072376171,0.427650726587038,0.015302067293393,0.0541168503289787,0.021109165448539,0.115570667711031,0.31786667480039,0.045635845841246,1,0.037992842258147
"BAG",0.00769939544335245,0.00800815464674823,0.00764318280623924,0.967504118100571,0.86620224795806,0.00768762504122119,0.957393162339243,0.00700592749302738,0.00792271868056409,0.821662348655689,0.932986416965517,1,0.00781452609874255
"EPHA",0.00224764206057233,0.00231313140049286,0.00198129526732421,0.0019306371764637,0.00254999627771074,0.00250135855664237,0.00200140370041761,0.00105868833819788,0.00235141308812533,1,0.00119461460548871,0.00160551514808341,0.00137158804800435
"ADGRG",0.0107008890083792,0.0181785263658805,0.0110248498997744,0.780738018874451,1,0.0166852245917643,0.0565112656734178,0.00912739119835823,0.010698519814247,0.461362283713812,0.0329678136395929,0.00939512802080492,0.0369097152279974
"LIFR",0.150527740465406,0.310476702573624,NA,0.491299966898422,0.574134624410353,1,0.481417923683465,0.00330743091524245,NA,0.160799363216607,0.255308464386084,0.217489161704857,0.441204832160227
"OSM",0.0118731234646552,0.0158777816099549,NA,1,0.777532716078367,0.0541953634159252,0.827957195335422,0.0074718048089369,NA,0.00881385191679594,0.0129173436288074,0.0116046716506516,0.0692051275473762
"KIT",0.00451677867295218,0.00501614221941194,0.00339312959032833,0.00544880433769542,0.00677256269344229,0.00670641393307011,0.00611154996685893,0.00256049708923216,0.00416783555403438,0.00904079023752142,0.00366518172983528,0.00511177010274642,1
"NRG",0.0136631302514042,0.0125454636688723,0.00926049493904576,0.0205541841909789,0.0219996351440968,0.0372046844953217,0.0167133151060732,0.00789819309978144,0.0117959122326512,1,0.00856454949984647,0.0106137082162535,0.0155948761599529
"DESMOSOME",NA,NA,NA,NA,0.968834080318452,NA,NA,NA,NA,1,NA,NA,NA
"EPHB",0.00122043884936718,0.00159448613410523,0.00121194135741088,0.00147716943681743,0.00167721689317783,0.0013889480352526,0.00139168089207015,0.000953442134941215,0.00120883000654208,1,0.00122141012629087,0.00116550922032336,0.00124601482334398
"CD46",0.393606916421783,0.452294610621863,0.00624015661009721,0.354644083396448,0.883115206125509,0.401124912381297,0.326609418723307,0.336416159705644,0.00632545884051098,1,0.911059430915424,0.349451093480936,0.458836357001616
"CDH",0.0312630536784677,0.0059824571965678,0.00463225224698955,0.00839392243148054,0.00924378148321695,0.00469652226951983,0.00721524166921572,0.00403338007634095,0.0829496098125393,1,0.00694603754604658,0.0085576757020096,0.0259776314361303
"XCR",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ApoE",0.00198402835698956,0.0020124871682007,0.00203667526262745,0.00308429323404967,1,0.00232057864558122,0.00231248254584883,0.00154021497788568,0.0018808914455174,0.00295241523717824,0.00190860103778351,0.00245079156723189,0.00172651939175313
"NOTCH",0.0110786828682762,0.0111436691896498,0.0109445304384347,0.0106512528837573,0.0107734852723899,0.0102242430602745,0.0108203423921964,0.00965234960601415,0.0112736589209951,1,0.0101058648987968,0.0103615456928158,0.00719199682256519
"SEMA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"PSAP",NA,NA,0.679261608550137,1,0.862387252424734,0.274351817893132,0.874625451969341,0.610064938203327,NA,NA,0.890608783179193,0.916503843586375,0.629603505138678
"CD30",NA,1,NA,NA,NA,0.668137366031979,NA,NA,NA,NA,NA,0.769669695916548,NA
"VEGI",0.329972162712752,0.281680969872982,1,0.794831004921293,0.796383029398575,0.371765332297372,0.421456891126757,0.239394844431272,0.834422692541582,0.193400381479204,0.390417223467609,0.155019237725796,0.184276204714321
"FASLG",0.493932623564415,0.452564827617952,0.558858011619751,0.148834383145783,0.174140945732822,1,0.145957288018144,NA,0.459899752242553,0.10465682789514,0.0969487479288215,NA,0.0799488879234903
"MPZ",0.03404574633503,0.0389809753037184,0.016499227885752,0.0755659490012321,0.775322083621133,0.0785118077443757,0.0927162950688077,0.0317699507291164,0.0156134994478867,1,0.0764367602960414,0.109491477082505,0.120127980158811
"L1CAM",0.656554663760144,0.680073683349635,0.655257793758134,0.995227940465527,1,0.627775928385995,0.964505694437602,0.571501354997789,0.676044661865715,0.871175239307099,0.896473123416802,0.680099342052507,0.682873860992343
"GP1BA",0.726470609424623,0.446684838058111,0.621378329224377,0.339307155634451,0.466656573864085,1,0.438397577718787,0.280617159771098,0.401249608266654,0.322098330873364,0.413002812773387,0.309401311813099,0.343300248333838
"SELL",NA,NA,NA,0.23636282686223,NA,0.271634974547332,0.587160244010046,0.271257531310652,NA,NA,0.595184429565383,1,NA
"MSTN",0.362829764001158,0.386457221965895,0.410716000362341,0.501065521614004,1,0.046093165278344,0.459460526168076,0.218226788108281,0.409906487401094,0.539166901316449,0.215915246720044,0.515723772845268,0.23620823456532
"TRAIL",0.0232144340610434,0.0148985006893691,0.0104987070731251,0.0260302962885514,0.638352892328914,0.147075526514508,0.0292296316380667,0.00565540113667426,NA,0.656018979607933,NA,NA,1
"CD23",0.317172790405813,0.327089925207494,0.29998059419001,0.616689336056406,0.647247149371866,0.425862544960966,0.533187607066366,0.292227990071742,0.314591621693196,1,0.252433148023419,0.314306250705591,0.530696094362266
"KLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"ApoB",0.814231481814281,0.842061624296491,0.81309063747618,0.995411123511097,1,0.780121592297824,0.965374886953366,0.711164096534028,0.839032769115937,0.873624651939185,0.897984052202657,0.844065607965547,0.846614612015474
"THY1",0.0595976419833613,0.0617009807150701,0.0575447792620908,0.540078775046226,0.507480376650951,0.0709892365382614,0.547015924264361,0.054338087663406,0.0146787570875752,1,0.4786051789818,0.500764491513414,0.013654548869027
"RELN",0.00413615834478655,0.0334793892005088,0.0342386632605288,0.193331801488784,1,0.0274110788594564,0.0706241255247058,0.0021843854316703,0.00553728029908722,0.105292059351066,0.00625402813023925,0.0524547997109801,0.00476583916282727
"NT",0.0740563944742476,0.0772587150215883,0.0647648220880404,0.174186075006427,0.233564518327149,0.0765775848829378,0.162625948992656,0.0522901697716355,0.0755928745155504,0.134855027358967,0.125758341929992,0.124490556281415,1
"CD48",0.771070363014633,0.959220788939355,0.751408728667814,0.535742724860828,0.308834389018533,NA,0.769934987283274,0.555885119309117,1,NA,0.33358497780955,NA,0.3449098251788
"SEMA6",NA,NA,NA,1,0.74295276328723,NA,NA,NA,NA,NA,NA,NA,NA
"OCLN",0.00679598179087855,0.0071260173068377,0.00678705058744924,0.00876914677987864,0.00881731533640887,0.00646532474878639,0.00843350885757401,0.00583979411498393,0.00699672105555479,1,0.00779592560803289,0.00703290261009184,0.00715444941369394
"HGF",0.0238595625212767,0.0265255079252707,0.0201835538185607,0.0336707182120515,0.0397321587470778,0.0232694582895274,0.0274714397502026,0.0132005192898792,0.0274314041757176,1,0.0131242940633164,0.0196997043102771,0.0248499683165245
"ACTIVIN",0.0470863818274696,0.0490189126183984,0.0656728717370195,0.139863000065935,1,0.0149291505484152,0.0696840323567443,0.0352170774449921,0.052458402872221,0.463054556159353,0.0464286598741135,0.0841645635177709,0.0431022124466167
"PDGF",0.023577322555002,0.023664341284447,0.0141890418398705,0.0340550920588353,0.0495352253504085,0.0429822587542706,0.0387962484117455,0.00442182500174202,0.0229579979951142,1,0.0120276518072743,0.0228828865092275,0.0420870646132358
"BMP",0.0662751394131567,0.0708786681385966,0.0932460129105697,0.125818146179868,0.240784643948061,0.0189356508791294,0.106069046116763,0.0510105091769149,0.0764697738232057,1,0.0650175667471711,0.129095954072529,0.0563344038781664
"EDN",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"FGF",0.0181678696525635,0.0186830987912764,0.0146882062832488,0.0242503563274689,0.0289673145657532,0.0260095007269985,0.0264347328367462,0.00769924944846635,0.0169930443640296,1,0.0116774942282798,0.0163640395812521,0.0489054783345713
"PRL",0.0186223531296295,0.0158256168880937,0.0439760482204597,0.0616442896643345,0.0601200885312642,0.012758830249464,0.0657608095611456,0.0124485180149412,0.046782184910472,1,0.0541638096552385,0.0637717617948837,0.0476917754560179
"GH",0.0290322084582335,0.0249265110056105,0.0665475589709389,0.0964868005014103,0.093128771437895,0.0176166602733878,0.0975313559154476,0.0168957256429833,0.0704524159297427,1,0.0810524648648387,0.0966241460707381,0.0728563842905659
"WNT",0.00957322267118026,0.00988665713941136,0.00944707860557084,0.0122267612851739,0.0105098606648901,0.00922405729012414,0.00889533436589369,0.00834162843344488,0.00984797159494159,1,0.00589560562627543,0.00481281460269756,0.00979195582293191
"ApoA",0.536570058923231,0.59767460383163,0.450724047700152,0.814811352664382,0.932709076117731,0.860127472501037,0.973147229510414,0.447555503299742,0.409734460888265,0.360942469894607,0.660285515770184,1,0.474864483055654
"NGF",0.0620251640432143,0.064982016559652,0.0500384565557707,0.169687521319235,0.228971961048873,0.0616745762838538,0.157083263163739,0.0411427776523033,0.0609121293904458,0.127489621919736,0.124632055812423,0.121627486791418,1
"CDH5",0.0752297778161002,0.0615497353600861,0.0497471317172593,0.590742575218924,0.610502652240751,0.0866968405509804,0.488782129120111,0.0376371008703908,0.0762337654640788,1,0.0689971380045269,0.204167808726933,0.276930758325162
"PTPR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"EPO",0.395251710093384,0.405514336879223,0.128558556849068,0.741645248674988,0.98617906399573,0.701333041482021,0.855197015911815,NA,0.419987696019938,1,0.197955766222838,0.427150387866901,0.776097609009612
"NPR2",0.812678978948873,NA,1,0.74571010981744,0.888084787868192,NA,0.426851487864137,NA,0.814919584398141,0.411651561401797,NA,0.771330127024402,NA
"GAP",0.203226009053737,0.331384439696152,0.199923256918558,0.606836807047254,0.600272524293226,0.193862959862308,0.584671683103066,0.0609087322997434,0.291202608901772,1,0.420354246944403,0.245926959243128,0.245073553702396
"IFN-I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANGPT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RANKL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CNTN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEGR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netrin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GDNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
